Species	Phylum	Host_class	Host_superorder	Common_name	Biota	Host_order	Host_suborder	Genome_type	Version
Ceratotherium_simum	Vertebrates	Mammals	Laurasiatheria	Rhino	Terrestrial	Perissodactyla	NULL	low_coverage	goldenpath_cerSim1
Ursus_maritimus	Vertebrates	Mammals	Laurasiatheria	Polar bear	Terrestrial	Carnivora	NULL	low_coverage	GAJD01_1.0_june_2013
Ailuropoda_melanoleuca	Vertebrates	Mammals	Laurasiatheria	Panda	Terrestrial	Carnivora	NULL	low_coverage	goldenpath_ailMel1
Canis_familiaris	Vertebrates	Mammals	Laurasiatheria	Dog	Terrestrial	Carnivora	NULL	low_coverage	goldenpath_canFam3
Felis_catus	Vertebrates	Mammals	Laurasiatheria	Cat	Terrestrial	Carnivora	NULL	complete	goldenpath_felCat5
Acinonyx_jubatus	Vertebrates	Mammals	Laurasiatheria	Cheetah	Terrestrial	Carnivora	NULL	low_coverage	aciJub1
Panthera_tigris_altaica	Vertebrates	Mammals	Laurasiatheria	Panther	Terrestrial	Carnivora	NULL	low_coverage	ncbi_100_2014-03
Mustela_furo	Vertebrates	Mammals	Laurasiatheria	Ferret	Terrestrial	Carnivora	NULL	low_coverage	goldenpath_musFur1
Odobenus_rosmarus	Vertebrates	Mammals	Laurasiatheria	Walrus	Aquatic	Carnivora	NULL	low_coverage	marinemamm_1.0_april_2013
Leptonychotes_weddellii	Vertebrates	Mammals	Laurasiatheria	Weddel seal	Aquatic	Carnivora	NULL	low_coverage	broad_1.1_april_2013
Erinaceus_europaeus	Vertebrates	Mammals	Laurasiatheria	European hedgehog	Terrestrial	Eulipotyphyla	NULL	low_coverage	goldenpath_eriEur2
Sorex_araneus	Vertebrates	Mammals	Laurasiatheria	Common shrew	Terrestrial	Eulipotyphyla	NULL	low_coverage	goldenpath_sorAra2
Megaderma_lyra	Vertebrates	Mammals	Laurasiatheria	Greater false vampire bat	Terrestrial	Chiroptera	NULL	low_coverage	ncbi_AWHB00000000.1_2015-05
Rhinolophus_ferrumequinum	Vertebrates	Mammals	Laurasiatheria	Greater horseshoe bat	Terrestrial	Chiroptera	NULL	low_coverage	ncbi_AWHA00000000.1_2015-05
Pteropus_alecto	Vertebrates	Mammals	Laurasiatheria	Black flying fox	Terrestrial	Chiroptera	NULL	low_coverage	broad_1.0_april_2012
Pteropus_vampyrus	Vertebrates	Mammals	Laurasiatheria	Large flying fox	Terrestrial	Chiroptera	NULL	low_coverage	goldenpath_pteVam1
Eidolon_helvum	Vertebrates	Mammals	Laurasiatheria	Straw-coloured fruit bat	Terrestrial	Chiroptera	NULL	low_coverage	GCA_000465285.1
Pteronotus_parnellii	Vertebrates	Mammals	Laurasiatheria	Parnells mustached bat	Terrestrial	Chiroptera	NULL	low_coverage	ncbi_AWGZ00000000.1_2015-05
Eptesicus_fuscus	Vertebrates	Mammals	Laurasiatheria	Big brown bat	Terrestrial	Chiroptera	NULL	low_coverage	broad_1.0_april_2013
Myotis_lucifugus	Vertebrates	Mammals	Laurasiatheria	Little brown bat	Terrestrial	Chiroptera	NULL	low_coverage	goldenpath_myoLuc2
Myotis_davidii	Vertebrates	Mammals	Laurasiatheria	Davids myotis	Terrestrial	Chiroptera	NULL	low_coverage	bgi_1.1_april_2013
Myotis_brandtii	Vertebrates	Mammals	Laurasiatheria	Brandts bat	Terrestrial	Chiroptera	NULL	low_coverage	ncbi_100_2013
Orycteropus_afer	Vertebrates	Mammals	Afrotheria	Aardvark	Terrestrial	Afrotheria	NULL	low_coverage	broad_v0_2012
Echinops_telfairi	Vertebrates	Mammals	Afrotheria	Tenrec	Terrestrial	Afrotheria	NULL	complete	goldenpath_echTel2
Chrysochloris_asiatica	Vertebrates	Mammals	Afrotheria	Cape golden mole	Terrestrial	Afrotheria	NULL	low_coverage	broad_ChrAsi1.0_2012
Procavia_capensis	Vertebrates	Mammals	Afrotheria	Hyrax	Terrestrial	Afrotheria	NULL	low_coverage	goldenpath_proCap1
Trichechus_manatus	Vertebrates	Mammals	Afrotheria	Manatee	Aquatic	Afrotheria	NULL	complete	goldenpath_triMan1
Loxodonta_africana	Vertebrates	Mammals	Afrotheria	Elephant	Terrestrial	Afrotheria	NULL	complete	goldenpath_loxAfr3
Choloepus_hoffmanni	Vertebrates	Mammals	Xenarthra	Two-toed sloth	Terrestrial	Xenarthra	NULL	complete	goldenpath_choHof1
Dasypus_novemcinctus	Vertebrates	Mammals	Xenarthra	Nine-banded armadillo	Terrestrial	Xenarthra	NULL	complete	goldenpath_dasNov3
Monodelphis_domestica	Vertebrates	Mammals	Marsupials	Opossum	Terrestrial	Marsupials	NULL	complete	goldenpath_monDom5
Macropus_eugenii	Vertebrates	Mammals	Marsupials	Tammar wallaby	Terrestrial	Marsupials	NULL	low_coverage	goldenpath_macEug2
Sarcophilus_harrisii	Vertebrates	Mammals	Marsupials	Tasmanian devil	Terrestrial	Marsupials	NULL	complete	goldenpath_sarHar1
Ornithorhynchus_anatinus	Vertebrates	Mammals	Monotremata	Platypus	Aquatic	Monotremata	NULL	low_coverage	goldenpath_ornAna1_2007-03
Xenopus_tropicalis	Vertebrates	Amphibia	Amphibia	Western clawed frog	Aquatic	Anura	NULL	low_coverage	v7_2015-06-19
Ambystoma_mexicanum	Vertebrates	Amphibia	Amphibia	Axolotl	Aquatic	Caudata	NULL	transcriptome	sung-2015
Cynops_pyrrhogaster	Vertebrates	Amphibia	Amphibia	Japanese fire belly newt	Aquatic	Caudata	NULL	transcriptome	sung-2016
Hynobius_chinensis	Vertebrates	Amphibia	Amphibia	Chinese salamander	Aquatic	Caudata	NULL	transcriptome	sung-2015
Notophthalmus_viridescens	Vertebrates	Amphibia	Amphibia	Eastern newt	Aquatic	Caudata	NULL	transcriptome	sung-2015
Triturus_carnifex	Vertebrates	Amphibia	Amphibia	Italian crested newt	Aquatic	Caudata	NULL	transcriptome	sung_2016
Apteryx_australis_mantelli	Vertebrates	Reptiles	Paleognathae	North Island brown kiwi	Terrestrial	Apterygiformes	NULL	low_coverage	AptMant0
Haliaeetus_albicilla	Vertebrates	Reptiles	Neognathae	White-tailed eagle	Terrestrial	Accipitriformes	NULL	low_coverage	bgi_2012-3-16
Haliaeetus_leucocephalus	Vertebrates	Reptiles	Neognathae	Bald eagle	Terrestrial	Accipitriformes	NULL	low_coverage	bgi_2012-03-16
Anas_platyrhynchos	Vertebrates	Reptiles	Neognathae	Peking duck	Aquatic	Anseriformes	NULL	complete	ensembl_79_BGI_duck_1.0
Calypte_anna	Vertebrates	Reptiles	Neognathae	Annas hummingbird	Terrestrial	Apodiformes	NULL	low_coverage	bgi_2011-10-28
Chaetura_pelagica	Vertebrates	Reptiles	Neognathae	Chimney swift	Terrestrial	Apodiformes	NULL	low_coverage	bgi_2011-10-28
Buceros_rhinoceros	Vertebrates	Reptiles	Neognathae	Rhinoceros hornbill	Terrestrial	Bucerotiformes	NULL	low_coverage	bgi_2011-10-28
Antrostomus_carolinensis	Vertebrates	Reptiles	Neognathae	Chuck-wills-widow	Terrestrial	Caprimulgiformes	NULL	low_coverage	bgi_2011-10-28
Cariama_cristata	Vertebrates	Reptiles	Neognathae	Red-legged seriema	Terrestrial	Cariamiformes	NULL	low_coverage	bgi_2011-10-28
Cathartes_aura	Vertebrates	Reptiles	Neognathae	Turkey vulture	Terrestrial	Cathartiformes	NULL	low_coverage	bgi_2011-10-28
Charadrius_vociferus	Vertebrates	Reptiles	Neognathae	Killdeer	Terrestrial	Charadriiformes	NULL	low_coverage	bgi_2011-10-28
Colius_striatus	Vertebrates	Reptiles	Neognathae	Speckled mousebird	Terrestrial	Coliiformes	NULL	low_coverage	bgi_2011-10-28
